x,y
-5.396,-0.340
-5.134,-0.336
-4.873,-0.332
-4.349,-0.323
-3.825,-0.315
-3.301,-0.307
-2.778,-0.298
-2.254,-0.290
-1.730,-0.281
-1.207,-0.273
-0.683,-0.264
-0.161,-0.259
0.358,-0.256
0.875,-0.256
1.389,-0.259
1.902,-0.265
2.414,-0.271
2.927,-0.277
3.439,-0.283
3.952,-0.288
4.464,-0.294
4.977,-0.300
5.489,-0.306
6.001,-0.317
6.511,-0.333
7.021,-0.355
7.529,-0.381
8.037,-0.413
8.497,-0.349
8.909,-0.190
9.274,0.065
9.532,0.436
9.682,0.923
9.773,1.430
9.804,1.958
9.774,2.507
9.745,3.056
9.716,3.604
9.695,4.145
9.681,4.678
9.675,5.203
9.676,5.720
9.685,6.230
9.694,6.739
9.634,7.300
9.441,7.761
9.113,8.122
8.651,8.385
8.086,8.545
7.487,8.554
6.919,8.560
6.382,8.564
5.876,8.566
5.370,8.568
4.864,8.570
4.358,8.572
3.853,8.574
3.347,8.576
2.841,8.578
2.335,8.580
1.829,8.582
1.323,8.584
0.817,8.586
0.311,8.588
-0.195,8.590
-0.701,8.592
-1.207,8.594
-1.713,8.596
-2.219,8.598
-2.724,8.600
-3.230,8.603
-3.736,8.605
-4.242,8.607
-4.748,8.609
-5.254,8.611
-5.760,8.613
-6.266,8.615
-6.772,8.617
-7.278,8.619
-7.784,8.621
-8.290,8.623
-8.796,8.625
-9.301,8.627
-9.807,8.629
-10.313,8.631
-10.833,8.624
-11.367,8.607
-11.914,8.582
-12.487,8.424
-12.960,8.163
-13.318,7.810
-13.562,7.363
-13.692,6.824
-13.695,6.315
-13.698,5.805
-13.701,5.296
-13.705,4.787
-13.708,4.278
-13.711,3.769
-13.714,3.260
-13.718,2.750
-13.721,2.241
-13.717,1.691
-13.705,1.099
-13.586,0.603
-13.359,0.204
-13.025,-0.098
-12.858,-0.249
-12.591,-0.262
